City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Xuddur,SO,2020-12-23 03:08:38,4.12,43.89,71.53,75,38,16.93
117,Maceio,BR,2020-12-23 03:08:38,-9.67,-35.74,73.4,94,20,3.36
118,Adana,TR,2020-12-23 03:08:28,36.98,35.29,50.0,66,40,5.82
119,Angola,AO,2020-12-23 03:08:38,-12.5,18.5,60.44,94,86,2.86
120,Seybaplaya,MX,2020-12-23 03:08:39,19.65,-90.67,74.66,82,50,9.19
121,Bredasdorp,ZA,2020-12-23 03:05:47,-34.53,20.04,66.2,88,74,4.7
122,Can,TR,2020-12-23 03:08:39,40.03,27.05,43.0,80,40,6.93
123,Khatanga,RU,2020-12-23 03:08:39,71.97,102.5,-23.57,83,94,12.03
124,Mareeba,AU,2020-12-23 03:08:40,-17.0,145.43,93.99,59,100,10.29
125,Estelle,US,2020-12-23 03:04:06,29.85,-90.11,55.99,84,0,5.88
126,Bethel,US,2020-12-23 03:08:40,41.37,-73.41,39.2,51,1,9.17
127,Teguise,ES,2020-12-23 03:08:40,29.06,-13.56,62.6,59,0,8.05
128,Pevek,RU,2020-12-23 03:08:40,69.7,170.31,-8.88,88,100,14.7
129,Atuona,PF,2020-12-23 03:08:41,-9.8,-139.03,78.73,78,75,15.77
130,Mar Del Plata,AR,2020-12-23 03:08:41,-38.0,-57.56,77.0,44,0,16.11
131,Aban,RU,2020-12-23 03:08:41,56.67,96.06,-1.8,90,100,8.75
132,Orumiyeh,IR,2020-12-23 03:08:42,37.55,45.08,28.4,92,75,4.7
133,Taos,US,2020-12-23 03:08:20,36.41,-105.57,35.6,51,1,24.16
134,Shitanjing,CN,2020-12-23 03:08:42,39.23,106.34,20.73,74,0,11.18
135,Culebra,PR,2020-12-23 03:08:42,18.3,-65.3,78.8,69,75,9.17
136,Sokoto,NG,2020-12-23 03:08:43,13.06,5.24,70.92,22,100,7.63
137,Victoria,HK,2020-12-23 03:04:59,22.29,114.16,66.0,76,91,1.01
138,Sakaraha,MG,2020-12-23 03:08:43,-22.9,44.53,74.12,77,3,4.59
139,Nanakuli,US,2020-12-23 03:08:44,21.39,-158.15,82.4,54,75,8.05
140,Marzuq,YE,2020-12-23 03:08:44,14.4,46.47,54.88,51,0,2.53
141,Yar-Sale,RU,2020-12-23 03:08:44,66.83,70.83,-31.49,84,49,4.99
142,Umm Lajj,SA,2020-12-23 03:08:44,25.02,37.27,73.96,63,0,8.63
143,Lasa,IT,2020-12-23 03:08:44,46.62,10.7,33.8,55,5,6.93
144,Aklavik,CA,2020-12-23 03:08:45,68.22,-135.01,-13.0,75,54,9.17
145,Cidreira,BR,2020-12-23 03:08:45,-30.18,-50.21,67.03,71,0,8.28
146,Valparaiso,CL,2020-12-23 03:08:45,-33.04,-71.63,57.2,93,90,2.24
147,Bluff,NZ,2020-12-23 03:08:45,-46.6,168.33,54.7,94,100,13.42
148,Arecibo,PR,2020-12-23 03:04:45,18.47,-66.72,73.99,89,1,10.16
149,Maldonado,UY,2020-12-23 03:08:46,-34.67,-54.92,64.0,63,0,3.36
150,Seoul,KR,2020-12-23 03:04:48,37.57,126.98,42.8,81,90,3.67
151,Vanavara,RU,2020-12-23 03:08:46,60.34,102.28,-5.24,91,100,3.04
152,Esperance,AU,2020-12-23 03:08:46,-33.87,121.9,75.2,36,0,10.29
153,Talnakh,RU,2020-12-23 03:08:47,69.49,88.4,-40.0,65,40,6.71
154,Ponta Delgada,PT,2020-12-23 03:04:33,37.73,-25.67,53.6,81,40,13.87
155,Zaraza,VE,2020-12-23 03:08:47,9.35,-65.32,73.78,91,63,5.39
156,Coquimbo,CL,2020-12-23 03:06:37,-29.95,-71.34,57.2,87,90,3.36
157,Almaznyy,RU,2020-12-23 03:08:48,48.04,40.05,19.4,92,75,15.66
158,Hasaki,JP,2020-12-23 03:08:48,35.73,140.83,55.0,46,20,8.05
159,Iquitos,PE,2020-12-23 03:08:49,-3.75,-73.25,75.2,94,75,6.93
160,Kudahuvadhoo,MV,2020-12-23 03:08:49,2.67,72.89,82.27,79,98,18.86
161,Grindavik,IS,2020-12-23 03:08:49,63.84,-22.43,35.6,69,75,12.75
162,Balkhash,KZ,2020-12-23 03:08:49,46.84,74.98,-0.27,88,0,5.12
163,Roebourne,AU,2020-12-23 03:08:49,-20.78,117.13,96.03,18,13,13.67
164,Castro,BR,2020-12-23 03:08:50,-24.79,-50.01,61.61,95,57,9.37
165,Constitucion,CL,2020-12-23 03:08:50,-35.33,-72.42,62.64,57,0,12.1
166,Alpena,US,2020-12-23 03:08:50,45.06,-83.43,30.2,80,75,8.05
167,Arraial Do Cabo,BR,2020-12-23 03:08:50,-22.97,-42.03,74.35,93,100,14.12
168,Port Shepstone,ZA,2020-12-23 03:08:51,-30.74,30.45,71.44,78,100,6.24
169,Alekseyevskoye,RU,2020-12-23 03:08:51,55.31,50.11,21.2,92,90,8.95
170,Emerald,AU,2020-12-23 03:08:51,-23.53,148.17,82.4,54,90,14.99
171,Beringovskiy,RU,2020-12-23 03:08:51,63.05,179.32,-18.04,86,64,16.91
172,Hobyo,SO,2020-12-23 03:08:52,5.35,48.53,76.42,75,49,20.58
173,Chokurdakh,RU,2020-12-23 03:08:52,70.63,147.92,-16.76,89,100,6.67
174,Alice Springs,AU,2020-12-23 03:08:52,-23.7,133.88,62.6,88,90,19.46
175,Klaksvik,FO,2020-12-23 03:08:52,62.23,-6.59,35.6,69,100,14.99
176,Ribeira Grande,PT,2020-12-23 03:08:53,38.52,-28.7,56.1,66,21,21.94
177,Durban,ZA,2020-12-23 03:08:53,-29.86,31.03,73.99,88,90,9.17
178,Thompson,CA,2020-12-23 03:08:53,55.74,-97.86,-16.6,68,20,8.05
179,Yurga,RU,2020-12-23 03:04:30,55.72,84.89,-5.48,92,85,5.66
180,New Norfolk,AU,2020-12-23 03:08:53,-42.78,147.06,69.8,40,40,18.34
181,Truro,GB,2020-12-23 03:08:54,50.27,-5.05,53.6,100,71,11.41
182,Petropavlovka,RU,2020-12-23 03:08:54,50.61,105.32,2.1,89,69,4.47
183,Upernavik,GL,2020-12-23 03:08:54,72.79,-56.15,21.96,92,100,18.34
184,Roma,US,2020-12-23 03:08:54,43.21,-75.46,33.8,59,90,20.8
185,Mariental,NA,2020-12-23 03:08:55,-24.63,17.97,73.4,60,22,4.7
186,Nyrob,RU,2020-12-23 03:08:55,60.73,56.72,28.04,97,98,9.98
187,The Pas,CA,2020-12-23 03:04:07,53.83,-101.25,-4.0,70,90,10.29
188,North Battleford,CA,2020-12-23 03:08:55,52.78,-108.28,6.8,77,90,12.75
189,Kungsbacka,SE,2020-12-23 03:08:56,57.49,12.08,44.01,93,75,16.11
190,Nepomuceno,BR,2020-12-23 03:08:56,-21.24,-45.24,68.07,92,100,8.99
191,Malanje,AO,2020-12-23 03:08:56,-9.54,16.34,61.11,99,100,3.29
192,Fort Nelson,CA,2020-12-23 03:08:56,58.81,-122.7,-13.0,75,75,4.7
193,Porto Novo,BJ,2020-12-23 03:07:07,6.5,2.6,78.48,88,27,4.43
194,Carnarvon,AU,2020-12-23 03:08:57,-24.87,113.63,91.4,52,0,11.41
195,Juneau,US,2020-12-23 03:04:03,58.3,-134.42,37.4,74,90,25.28
196,El Paso,US,2020-12-23 03:08:57,31.8,-106.2,57.2,22,40,8.05
197,Honiara,SB,2020-12-23 03:08:57,-9.43,159.95,86.0,79,40,11.41
198,Carutapera,BR,2020-12-23 03:08:58,-1.2,-46.02,77.72,81,28,5.06
199,Saint-Augustin,CA,2020-12-23 03:08:58,51.23,-58.65,29.07,97,100,24.4
200,La Rioja,ES,2020-12-23 03:06:34,42.25,-2.5,42.8,100,90,4.7
201,Kirakira,SB,2020-12-23 03:08:58,-10.45,161.92,83.93,73,77,0.36
202,Port-Gentil,GA,2020-12-23 03:08:59,-0.72,8.78,78.76,83,49,8.55
203,Dargaville,NZ,2020-12-23 03:08:59,-35.93,173.88,72.3,65,99,6.62
204,Hokitika,NZ,2020-12-23 03:08:59,-42.72,170.97,56.41,90,100,6.02
205,Batemans Bay,AU,2020-12-23 03:08:59,-35.72,150.18,70.0,60,17,1.99
206,Saskylakh,RU,2020-12-23 03:09:00,71.92,114.08,-20.51,85,100,6.08
207,Ulaangom,MN,2020-12-23 03:09:00,49.98,92.07,-8.88,86,100,1.05
208,Charlottesville,US,2020-12-23 03:04:57,38.03,-78.48,42.8,48,1,3.36
209,Saint-Philippe,RE,2020-12-23 03:09:01,-21.36,55.77,78.8,74,40,13.87
210,Anadyr,RU,2020-12-23 03:09:01,64.75,177.48,-14.01,75,40,6.71
211,Rehoboth,NA,2020-12-23 03:09:01,-23.32,17.08,68.7,58,31,5.08
212,Mbaiki,CF,2020-12-23 03:09:01,3.87,17.99,68.97,48,96,2.35
213,Altoona,US,2020-12-23 03:09:02,40.52,-78.39,35.6,74,90,8.05
214,Yebaishou,CN,2020-12-23 03:09:02,41.4,119.64,25.2,86,0,13.15
215,Garowe,SO,2020-12-23 03:09:02,8.41,48.48,65.66,72,8,11.83
216,Chara,RU,2020-12-23 03:09:03,56.91,118.26,-7.02,77,99,0.63
217,Trapani,IT,2020-12-23 03:09:03,37.83,12.67,55.99,81,20,6.93
218,Jalu,LY,2020-12-23 03:09:03,29.03,21.55,51.62,79,0,7.05
